"fue","MUE"
"fue 2","MUE_10"
"fue 6","MUE_1"
"fue 7","MUE_11"
"fue 10","MUE_12"
"fue 11","MUE_3"
"fue 15","MUE_33"
"fue 20","MUE_8"
"fue 29","MUE_22"
"fue 30","MUE_25"
"fue 32","MUE_17"
"fue 35","MUE_36"
"fue 36","MUE_5"
"fue 39","MUE_4"
"fue 42","MUE_21"
"fue 43","MUE_9"
"fue 44","MUE_13"
"fue 54","MUE_2"
"fue 55","MUE_34"
"fue 59","MUE_27"
"fue 61","MUE_30"
"fue 66","MUE_32"
"fue 68","MUE_7"
"fue 71","MUE_15"
"fue 72","MUE_18"
"fue 73","MUE_24"
"fue 74","MUE_14"
"fue 77","MUE_6"
"fue 79","MUE_29"
"fue 80","MUE_35"
"fue 84","MUE_26"
"fue 89","MUE_20"
"fue 91","MUE_28"
"fue 93","MUE_19"
"fue 96","MUE_16"
"fue 98","MUE_23"
"fue 102","MUE_31"
