"fue","MUE"
"fue 1","MUE_21"
"fue 3","MUE_6"
"fue 4","MUE_15"
"fue 5","MUE_20"
"fue 8","MUE_28"
"fue 9","MUE_9"
"fue 11","MUE_2"
"fue 12","MUE_27"
"fue 13","MUE_26"
"fue 14","MUE_17"
"fue 15","MUE_12"
"fue 16","MUE_35"
"fue 17","MUE_32"
"fue 18","MUE_8"
"fue 19","MUE_16"
"fue 20","MUE_24"
"fue 23","MUE_36"
"fue 24","MUE_3"
"fue 26","MUE_11"
"fue 27","MUE_31"
"fue 28","MUE_34"
"fue 31","MUE_4"
"fue 33","MUE_1"
"fue 34","MUE_23"
"fue 39","MUE_19"
"fue 40","MUE_22"
"fue 41","MUE_30"
"fue 43","MUE_7"
"fue 44","MUE_25"
"fue 46","MUE_10"
"fue 47","MUE_29"
"fue 48","MUE_33"
"fue 50","MUE_5"
"fue 52","MUE_14"
"fue 53","MUE_18"
"fue 54","MUE_13"
