"fue","MUE"
"fue 1","MUE_33"
"fue 2","MUE_2"
"fue 8","MUE_6"
"fue 9","MUE_29"
"fue 11","MUE_26"
"fue 17","MUE_10"
"fue 18","MUE_4"
"fue 20","MUE_27"
"fue 23","MUE_28"
"fue 25","MUE_20"
"fue 26","MUE_34"
"fue 27","MUE_17"
"fue 28","MUE_32"
"fue 30","MUE_36"
"fue 31","MUE_16"
"fue 32","MUE_9"
"fue 36","MUE_25"
"fue 40","MUE_19"
"fue 41","MUE_30"
"fue 43","MUE_23"
"fue 45","MUE_21"
"fue 48","MUE_5"
"fue 50","MUE_18"
"fue 51","MUE_24"
"fue 53","MUE_11"
"fue 55","MUE_31"
"fue 56","MUE_8"
"fue 57","MUE_3"
"fue 58","MUE_1"
"fue 60","MUE_14"
"fue 62","MUE_12"
"fue 63","MUE_22"
"fue 64","MUE_35"
"fue 65","MUE_7"
"fue 67","MUE_15"
"fue 71","MUE_13"
