"fue","MUE"
"fue 1","MUE_2"
"fue 3","MUE_27"
"fue 4","MUE_18"
"fue 5","MUE_28"
"fue 6","MUE_20"
"fue 10","MUE_7"
"fue 12","MUE_1"
"fue 13","MUE_25"
"fue 17","MUE_4"
"fue 19","MUE_26"
"fue 21","MUE_6"
"fue 23","MUE_13"
"fue 24","MUE_9"
"fue 27","MUE_21"
"fue 31","MUE_5"
"fue 33","MUE_17"
"fue 35","MUE_33"
"fue 37","MUE_36"
"fue 39","MUE_19"
"fue 41","MUE_23"
"fue 42","MUE_35"
"fue 44","MUE_16"
"fue 45","MUE_8"
"fue 48","MUE_34"
"fue 49","MUE_12"
"fue 52","MUE_24"
"fue 53","MUE_30"
"fue 55","MUE_32"
"fue 57","MUE_31"
"fue 58","MUE_10"
"fue 59","MUE_29"
"fue 62","MUE_14"
"fue 63","MUE_3"
"fue 64","MUE_22"
"fue 65","MUE_15"
"fue 66","MUE_11"
