"fue","MUE"
"fue 1","MUE_20"
"fue 5","MUE_9"
"fue 8","MUE_21"
"fue 14","MUE_10"
"fue 16","MUE_32"
"fue 17","MUE_30"
"fue 18","MUE_1"
"fue 20","MUE_19"
"fue 22","MUE_26"
"fue 23","MUE_6"
"fue 24","MUE_24"
"fue 27","MUE_11"
"fue 29","MUE_7"
"fue 31","MUE_28"
"fue 32","MUE_35"
"fue 34","MUE_31"
"fue 38","MUE_16"
"fue 40","MUE_2"
"fue 43","MUE_36"
"fue 44","MUE_3"
"fue 45","MUE_13"
"fue 46","MUE_34"
"fue 47","MUE_18"
"fue 51","MUE_33"
"fue 52","MUE_15"
"fue 53","MUE_29"
"fue 58","MUE_22"
"fue 59","MUE_12"
"fue 61","MUE_5"
"fue 63","MUE_8"
"fue 66","MUE_23"
"fue 67","MUE_25"
"fue 68","MUE_27"
"fue 70","MUE_14"
"fue 71","MUE_17"
"fue 72","MUE_4"
