"fue","MUE"
"fue 5","MUE_6"
"fue 12","MUE_2"
"fue 13","MUE_26"
"fue 14","MUE_31"
"fue 15","MUE_15"
"fue 16","MUE_17"
"fue 17","MUE_9"
"fue 18","MUE_36"
"fue 20","MUE_19"
"fue 21","MUE_30"
"fue 22","MUE_10"
"fue 25","MUE_34"
"fue 27","MUE_28"
"fue 28","MUE_11"
"fue 29","MUE_33"
"fue 33","MUE_23"
"fue 34","MUE_22"
"fue 38","MUE_29"
"fue 40","MUE_4"
"fue 47","MUE_24"
"fue 48","MUE_8"
"fue 52","MUE_12"
"fue 53","MUE_16"
"fue 56","MUE_27"
"fue 61","MUE_20"
"fue 64","MUE_18"
"fue 65","MUE_1"
"fue 67","MUE_14"
"fue 68","MUE_25"
"fue 72","MUE_5"
"fue 73","MUE_32"
"fue 75","MUE_3"
"fue 77","MUE_35"
"fue 79","MUE_21"
"fue 82","MUE_7"
"fue 84","MUE_13"
