"fue","MUE"
"fue 4","MUE_8"
"fue 5","MUE_1"
"fue 6","MUE_24"
"fue 15","MUE_9"
"fue 18","MUE_12"
"fue 19","MUE_10"
"fue 21","MUE_30"
"fue 22","MUE_21"
"fue 27","MUE_19"
"fue 31","MUE_32"
"fue 37","MUE_3"
"fue 38","MUE_16"
"fue 41","MUE_2"
"fue 42","MUE_23"
"fue 43","MUE_22"
"fue 48","MUE_26"
"fue 49","MUE_36"
"fue 53","MUE_34"
"fue 56","MUE_18"
"fue 57","MUE_31"
"fue 61","MUE_17"
"fue 63","MUE_13"
"fue 66","MUE_35"
"fue 67","MUE_14"
"fue 68","MUE_29"
"fue 72","MUE_6"
"fue 73","MUE_7"
"fue 75","MUE_15"
"fue 76","MUE_28"
"fue 77","MUE_4"
"fue 81","MUE_20"
"fue 85","MUE_11"
"fue 88","MUE_5"
"fue 90","MUE_33"
"fue 91","MUE_27"
"fue 96","MUE_25"
