"fue","MUE"
"fue 2","MUE_32"
"fue 10","MUE_23"
"fue 17","MUE_35"
"fue 22","MUE_19"
"fue 24","MUE_29"
"fue 25","MUE_5"
"fue 27","MUE_6"
"fue 29","MUE_16"
"fue 32","MUE_33"
"fue 35","MUE_34"
"fue 36","MUE_18"
"fue 41","MUE_28"
"fue 43","MUE_30"
"fue 51","MUE_25"
"fue 53","MUE_12"
"fue 57","MUE_3"
"fue 59","MUE_36"
"fue 62","MUE_24"
"fue 65","MUE_7"
"fue 69","MUE_11"
"fue 70","MUE_1"
"fue 71","MUE_17"
"fue 72","MUE_21"
"fue 74","MUE_2"
"fue 75","MUE_8"
"fue 78","MUE_22"
"fue 81","MUE_15"
"fue 82","MUE_10"
"fue 83","MUE_13"
"fue 84","MUE_4"
"fue 95","MUE_31"
"fue 99","MUE_14"
"fue 101","MUE_9"
"fue 103","MUE_27"
"fue 104","MUE_26"
"fue 106","MUE_20"
