"fue","MUE"
"fue 4","MUE_4"
"fue 6","MUE_19"
"fue 8","MUE_8"
"fue 12","MUE_18"
"fue 21","MUE_36"
"fue 23","MUE_3"
"fue 28","MUE_5"
"fue 29","MUE_13"
"fue 33","MUE_11"
"fue 36","MUE_35"
"fue 38","MUE_6"
"fue 39","MUE_16"
"fue 48","MUE_29"
"fue 50","MUE_24"
"fue 63","MUE_31"
"fue 66","MUE_30"
"fue 67","MUE_23"
"fue 68","MUE_9"
"fue 72","MUE_14"
"fue 73","MUE_20"
"fue 79","MUE_26"
"fue 80","MUE_15"
"fue 81","MUE_21"
"fue 82","MUE_12"
"fue 87","MUE_22"
"fue 88","MUE_7"
"fue 89","MUE_33"
"fue 90","MUE_17"
"fue 91","MUE_27"
"fue 95","MUE_28"
"fue 99","MUE_10"
"fue 104","MUE_34"
"fue 108","MUE_1"
"fue 109","MUE_32"
"fue 112","MUE_2"
"fue 113","MUE_25"
