"fue","MUE"
"fue 1","MUE_27"
"fue 4","MUE_31"
"fue 9","MUE_18"
"fue 11","MUE_10"
"fue 13","MUE_25"
"fue 14","MUE_33"
"fue 16","MUE_1"
"fue 17","MUE_34"
"fue 19","MUE_4"
"fue 23","MUE_2"
"fue 25","MUE_28"
"fue 26","MUE_16"
"fue 28","MUE_3"
"fue 29","MUE_29"
"fue 30","MUE_19"
"fue 31","MUE_17"
"fue 34","MUE_21"
"fue 39","MUE_13"
"fue 45","MUE_23"
"fue 47","MUE_32"
"fue 49","MUE_9"
"fue 50","MUE_14"
"fue 52","MUE_15"
"fue 54","MUE_22"
"fue 59","MUE_24"
"fue 60","MUE_11"
"fue 61","MUE_26"
"fue 63","MUE_5"
"fue 65","MUE_7"
"fue 67","MUE_12"
"fue 70","MUE_8"
"fue 74","MUE_36"
"fue 75","MUE_6"
"fue 76","MUE_20"
"fue 77","MUE_35"
"fue 78","MUE_30"
