"fue","MUE"
"fue 4","MUE_36"
"fue 5","MUE_5"
"fue 8","MUE_35"
"fue 10","MUE_29"
"fue 14","MUE_18"
"fue 15","MUE_17"
"fue 18","MUE_30"
"fue 20","MUE_31"
"fue 21","MUE_13"
"fue 22","MUE_28"
"fue 24","MUE_9"
"fue 31","MUE_4"
"fue 35","MUE_7"
"fue 38","MUE_19"
"fue 47","MUE_15"
"fue 50","MUE_23"
"fue 52","MUE_3"
"fue 53","MUE_11"
"fue 54","MUE_27"
"fue 55","MUE_22"
"fue 56","MUE_24"
"fue 57","MUE_25"
"fue 58","MUE_2"
"fue 60","MUE_1"
"fue 61","MUE_14"
"fue 71","MUE_26"
"fue 74","MUE_33"
"fue 76","MUE_10"
"fue 79","MUE_20"
"fue 85","MUE_34"
"fue 86","MUE_21"
"fue 88","MUE_32"
"fue 92","MUE_12"
"fue 96","MUE_8"
"fue 97","MUE_6"
"fue 100","MUE_16"
