"fue","MUE"
"fue 1","MUE_25"
"fue 2","MUE_20"
"fue 4","MUE_12"
"fue 14","MUE_16"
"fue 15","MUE_34"
"fue 22","MUE_26"
"fue 26","MUE_35"
"fue 29","MUE_30"
"fue 30","MUE_5"
"fue 31","MUE_23"
"fue 35","MUE_27"
"fue 36","MUE_17"
"fue 37","MUE_8"
"fue 40","MUE_29"
"fue 41","MUE_18"
"fue 42","MUE_3"
"fue 43","MUE_28"
"fue 46","MUE_31"
"fue 51","MUE_1"
"fue 53","MUE_24"
"fue 55","MUE_15"
"fue 59","MUE_33"
"fue 60","MUE_4"
"fue 64","MUE_9"
"fue 67","MUE_10"
"fue 69","MUE_6"
"fue 72","MUE_21"
"fue 73","MUE_32"
"fue 78","MUE_14"
"fue 84","MUE_13"
"fue 86","MUE_36"
"fue 87","MUE_22"
"fue 97","MUE_19"
"fue 98","MUE_11"
"fue 99","MUE_2"
"fue 101","MUE_7"
