"fue","MUE"
"fue 1","MUE_24"
"fue 16","MUE_13"
"fue 19","MUE_34"
"fue 20","MUE_29"
"fue 23","MUE_23"
"fue 24","MUE_28"
"fue 27","MUE_12"
"fue 30","MUE_2"
"fue 31","MUE_32"
"fue 33","MUE_18"
"fue 34","MUE_15"
"fue 39","MUE_3"
"fue 46","MUE_4"
"fue 47","MUE_20"
"fue 48","MUE_11"
"fue 51","MUE_7"
"fue 53","MUE_36"
"fue 56","MUE_6"
"fue 57","MUE_33"
"fue 58","MUE_8"
"fue 59","MUE_16"
"fue 62","MUE_35"
"fue 63","MUE_22"
"fue 64","MUE_14"
"fue 66","MUE_19"
"fue 67","MUE_1"
"fue 69","MUE_25"
"fue 74","MUE_9"
"fue 82","MUE_26"
"fue 85","MUE_17"
"fue 87","MUE_21"
"fue 90","MUE_27"
"fue 91","MUE_30"
"fue 93","MUE_5"
"fue 97","MUE_10"
"fue 103","MUE_31"
