"fue","MUE"
"fue 1","MUE_26"
"fue 2","MUE_12"
"fue 4","MUE_31"
"fue 5","MUE_25"
"fue 9","MUE_9"
"fue 11","MUE_14"
"fue 12","MUE_13"
"fue 14","MUE_23"
"fue 16","MUE_33"
"fue 18","MUE_3"
"fue 20","MUE_2"
"fue 21","MUE_7"
"fue 22","MUE_5"
"fue 26","MUE_10"
"fue 29","MUE_6"
"fue 31","MUE_29"
"fue 35","MUE_28"
"fue 36","MUE_1"
"fue 38","MUE_11"
"fue 39","MUE_27"
"fue 45","MUE_21"
"fue 46","MUE_35"
"fue 47","MUE_34"
"fue 48","MUE_17"
"fue 51","MUE_8"
"fue 53","MUE_24"
"fue 54","MUE_30"
"fue 57","MUE_20"
"fue 58","MUE_4"
"fue 59","MUE_32"
"fue 60","MUE_36"
"fue 62","MUE_19"
"fue 63","MUE_15"
"fue 64","MUE_18"
"fue 65","MUE_16"
"fue 66","MUE_22"
