"fue","MUE"
"fue 8","MUE_19"
"fue 11","MUE_30"
"fue 15","MUE_25"
"fue 18","MUE_5"
"fue 19","MUE_3"
"fue 20","MUE_34"
"fue 21","MUE_24"
"fue 22","MUE_6"
"fue 23","MUE_21"
"fue 24","MUE_9"
"fue 25","MUE_29"
"fue 27","MUE_26"
"fue 31","MUE_2"
"fue 37","MUE_20"
"fue 39","MUE_22"
"fue 41","MUE_33"
"fue 42","MUE_10"
"fue 51","MUE_1"
"fue 53","MUE_16"
"fue 60","MUE_35"
"fue 61","MUE_31"
"fue 68","MUE_18"
"fue 69","MUE_14"
"fue 72","MUE_23"
"fue 77","MUE_13"
"fue 80","MUE_4"
"fue 82","MUE_32"
"fue 84","MUE_28"
"fue 85","MUE_17"
"fue 89","MUE_8"
"fue 92","MUE_27"
"fue 93","MUE_7"
"fue 95","MUE_15"
"fue 98","MUE_12"
"fue 99","MUE_36"
"fue 101","MUE_11"
