"fue","MUE"
"fue 2","MUE_4"
"fue 4","MUE_30"
"fue 10","MUE_2"
"fue 11","MUE_28"
"fue 12","MUE_8"
"fue 13","MUE_17"
"fue 14","MUE_33"
"fue 15","MUE_11"
"fue 16","MUE_20"
"fue 17","MUE_12"
"fue 19","MUE_16"
"fue 23","MUE_27"
"fue 25","MUE_1"
"fue 26","MUE_9"
"fue 27","MUE_32"
"fue 29","MUE_35"
"fue 32","MUE_26"
"fue 34","MUE_3"
"fue 35","MUE_18"
"fue 36","MUE_25"
"fue 37","MUE_31"
"fue 40","MUE_21"
"fue 41","MUE_5"
"fue 43","MUE_10"
"fue 45","MUE_7"
"fue 46","MUE_34"
"fue 47","MUE_23"
"fue 50","MUE_29"
"fue 51","MUE_19"
"fue 52","MUE_6"
"fue 53","MUE_22"
"fue 54","MUE_36"
"fue 58","MUE_13"
"fue 62","MUE_24"
"fue 65","MUE_14"
"fue 66","MUE_15"
