"fue","MUE"
"fue 1","MUE_27"
"fue 4","MUE_7"
"fue 6","MUE_13"
"fue 7","MUE_5"
"fue 9","MUE_11"
"fue 12","MUE_22"
"fue 15","MUE_4"
"fue 17","MUE_36"
"fue 19","MUE_24"
"fue 23","MUE_33"
"fue 24","MUE_12"
"fue 25","MUE_17"
"fue 27","MUE_1"
"fue 33","MUE_29"
"fue 40","MUE_6"
"fue 42","MUE_32"
"fue 44","MUE_26"
"fue 45","MUE_19"
"fue 48","MUE_18"
"fue 49","MUE_28"
"fue 53","MUE_3"
"fue 56","MUE_30"
"fue 57","MUE_21"
"fue 59","MUE_20"
"fue 60","MUE_16"
"fue 61","MUE_35"
"fue 63","MUE_10"
"fue 64","MUE_15"
"fue 66","MUE_8"
"fue 68","MUE_9"
"fue 69","MUE_34"
"fue 70","MUE_31"
"fue 72","MUE_23"
"fue 73","MUE_14"
"fue 76","MUE_2"
"fue 78","MUE_25"
