"fue","MUE"
"fue 5","MUE 33"
"fue 7","MUE 1"
"fue 8","MUE 35"
"fue 9","MUE 25"
"fue 10","MUE 29"
"fue 11","MUE 36"
"fue 15","MUE 8"
"fue 16","MUE 7"
"fue 18","MUE 16"
"fue 19","MUE 31"
"fue 24","MUE 12"
"fue 26","MUE 21"
"fue 28","MUE 2"
"fue 29","MUE 32"
"fue 30","MUE 17"
"fue 31","MUE 3"
"fue 32","MUE 27"
"fue 34","MUE 13"
"fue 35","MUE 5"
"fue 36","MUE 14"
"fue 37","MUE 6"
"fue 39","MUE 23"
"fue 49","MUE 26"
"fue 50","MUE 28"
"fue 54","MUE 15"
"fue 56","MUE 19"
"fue 59","MUE 22"
"fue 63","MUE 20"
"fue 67","MUE 34"
"fue 69","MUE 4"
"fue 73","MUE 10"
"fue 74","MUE 18"
"fue 75","MUE 9"
"fue 76","MUE 30"
"fue 77","MUE 11"
"fue 78","MUE 24"
