"fue","MUE"
"fue 1","MUE 33"
"fue 3","MUE 26"
"fue 6","MUE 24"
"fue 7","MUE 31"
"fue 10","MUE 36"
"fue 12","MUE 11"
"fue 15","MUE 6"
"fue 18","MUE 25"
"fue 20","MUE 28"
"fue 25","MUE 22"
"fue 31","MUE 14"
"fue 32","MUE 21"
"fue 37","MUE 5"
"fue 39","MUE 3"
"fue 40","MUE 29"
"fue 41","MUE 20"
"fue 47","MUE 30"
"fue 48","MUE 16"
"fue 50","MUE 1"
"fue 52","MUE 7"
"fue 54","MUE 9"
"fue 55","MUE 23"
"fue 58","MUE 32"
"fue 59","MUE 8"
"fue 62","MUE 2"
"fue 63","MUE 19"
"fue 65","MUE 4"
"fue 66","MUE 35"
"fue 69","MUE 10"
"fue 70","MUE 13"
"fue 71","MUE 15"
"fue 72","MUE 17"
"fue 74","MUE 12"
"fue 75","MUE 34"
"fue 76","MUE 27"
"fue 78","MUE 18"
