"fue","MUE"
"fue 1","MUE 33"
"fue 2","MUE 31"
"fue 3","MUE 1"
"fue 4","MUE 10"
"fue 5","MUE 14"
"fue 7","MUE 4"
"fue 8","MUE 7"
"fue 9","MUE 16"
"fue 11","MUE 21"
"fue 13","MUE 2"
"fue 14","MUE 20"
"fue 16","MUE 35"
"fue 17","MUE 15"
"fue 18","MUE 11"
"fue 20","MUE 34"
"fue 21","MUE 6"
"fue 28","MUE 19"
"fue 31","MUE 26"
"fue 32","MUE 9"
"fue 38","MUE 25"
"fue 40","MUE 13"
"fue 41","MUE 18"
"fue 44","MUE 5"
"fue 47","MUE 23"
"fue 50","MUE 27"
"fue 51","MUE 22"
"fue 55","MUE 8"
"fue 56","MUE 36"
"fue 57","MUE 12"
"fue 59","MUE 24"
"fue 60","MUE 3"
"fue 63","MUE 32"
"fue 65","MUE 29"
"fue 67","MUE 17"
"fue 70","MUE 28"
"fue 72","MUE 30"
