"fue","MUE"
"fue 2","MUE 10"
"fue 3","MUE 29"
"fue 5","MUE 19"
"fue 6","MUE 18"
"fue 8","MUE 2"
"fue 9","MUE 17"
"fue 10","MUE 22"
"fue 11","MUE 13"
"fue 12","MUE 31"
"fue 13","MUE 16"
"fue 14","MUE 32"
"fue 15","MUE 5"
"fue 17","MUE 4"
"fue 18","MUE 25"
"fue 19","MUE 23"
"fue 20","MUE 1"
"fue 21","MUE 12"
"fue 22","MUE 33"
"fue 25","MUE 8"
"fue 26","MUE 28"
"fue 27","MUE 36"
"fue 28","MUE 21"
"fue 29","MUE 6"
"fue 30","MUE 27"
"fue 31","MUE 15"
"fue 33","MUE 34"
"fue 36","MUE 35"
"fue 37","MUE 30"
"fue 39","MUE 14"
"fue 40","MUE 11"
"fue 42","MUE 9"
"fue 43","MUE 20"
"fue 44","MUE 26"
"fue 45","MUE 3"
"fue 46","MUE 24"
"fue 48","MUE 7"
