"fue","MUE"
"fue 2","MUE 18"
"fue 4","MUE 26"
"fue 5","MUE 7"
"fue 7","MUE 19"
"fue 8","MUE 14"
"fue 13","MUE 27"
"fue 14","MUE 20"
"fue 21","MUE 6"
"fue 23","MUE 1"
"fue 26","MUE 34"
"fue 29","MUE 11"
"fue 33","MUE 23"
"fue 34","MUE 32"
"fue 37","MUE 21"
"fue 38","MUE 9"
"fue 41","MUE 5"
"fue 42","MUE 17"
"fue 43","MUE 10"
"fue 44","MUE 2"
"fue 45","MUE 36"
"fue 48","MUE 29"
"fue 49","MUE 25"
"fue 52","MUE 33"
"fue 53","MUE 4"
"fue 55","MUE 22"
"fue 56","MUE 35"
"fue 57","MUE 15"
"fue 58","MUE 8"
"fue 59","MUE 30"
"fue 64","MUE 28"
"fue 66","MUE 24"
"fue 68","MUE 16"
"fue 71","MUE 12"
"fue 72","MUE 31"
"fue 75","MUE 13"
"fue 76","MUE 3"
