"fue","MUE"
"fue 1","MUE 26"
"fue 2","MUE 25"
"fue 3","MUE 20"
"fue 4","MUE 23"
"fue 5","MUE 29"
"fue 9","MUE 8"
"fue 10","MUE 16"
"fue 11","MUE 6"
"fue 13","MUE 35"
"fue 14","MUE 22"
"fue 15","MUE 24"
"fue 17","MUE 36"
"fue 18","MUE 2"
"fue 20","MUE 31"
"fue 21","MUE 28"
"fue 23","MUE 11"
"fue 27","MUE 33"
"fue 28","MUE 13"
"fue 29","MUE 19"
"fue 31","MUE 34"
"fue 33","MUE 27"
"fue 34","MUE 14"
"fue 35","MUE 30"
"fue 36","MUE 3"
"fue 37","MUE 21"
"fue 39","MUE 32"
"fue 42","MUE 15"
"fue 43","MUE 17"
"fue 44","MUE 4"
"fue 45","MUE 9"
"fue 46","MUE 12"
"fue 47","MUE 18"
"fue 48","MUE 5"
"fue 50","MUE 7"
"fue 51","MUE 1"
"fue 53","MUE 10"
