"fue","MUE"
"fue 1","MUE 23"
"fue 3","MUE 21"
"fue 4","MUE 33"
"fue 6","MUE 19"
"fue 7","MUE 16"
"fue 8","MUE 28"
"fue 13","MUE 3"
"fue 16","MUE 32"
"fue 18","MUE 2"
"fue 20","MUE 11"
"fue 21","MUE 18"
"fue 23","MUE 14"
"fue 24","MUE 4"
"fue 25","MUE 12"
"fue 26","MUE 20"
"fue 34","MUE 36"
"fue 35","MUE 13"
"fue 36","MUE 1"
"fue 38","MUE 31"
"fue 39","MUE 22"
"fue 40","MUE 5"
"fue 41","MUE 27"
"fue 42","MUE 17"
"fue 46","MUE 24"
"fue 48","MUE 6"
"fue 49","MUE 15"
"fue 50","MUE 8"
"fue 52","MUE 35"
"fue 53","MUE 34"
"fue 57","MUE 7"
"fue 62","MUE 25"
"fue 65","MUE 29"
"fue 67","MUE 9"
"fue 68","MUE 26"
"fue 69","MUE 30"
"fue 70","MUE 10"
