"fue","MUE"
"fue 1","MUE 17"
"fue 2","MUE 27"
"fue 6","MUE 26"
"fue 10","MUE 28"
"fue 11","MUE 18"
"fue 13","MUE 20"
"fue 14","MUE 4"
"fue 15","MUE 14"
"fue 19","MUE 36"
"fue 20","MUE 10"
"fue 21","MUE 15"
"fue 24","MUE 24"
"fue 27","MUE 22"
"fue 29","MUE 8"
"fue 30","MUE 5"
"fue 34","MUE 12"
"fue 35","MUE 32"
"fue 36","MUE 25"
"fue 38","MUE 1"
"fue 43","MUE 31"
"fue 44","MUE 3"
"fue 50","MUE 35"
"fue 59","MUE 2"
"fue 60","MUE 16"
"fue 64","MUE 7"
"fue 65","MUE 13"
"fue 69","MUE 9"
"fue 70","MUE 30"
"fue 72","MUE 21"
"fue 73","MUE 33"
"fue 74","MUE 6"
"fue 77","MUE 19"
"fue 78","MUE 11"
"fue 79","MUE 29"
"fue 82","MUE 34"
"fue 84","MUE 23"
