"fue","MUE"
"fue 2","MUE 26"
"fue 3","MUE 2"
"fue 8","MUE 28"
"fue 9","MUE 35"
"fue 10","MUE 6"
"fue 13","MUE 11"
"fue 14","MUE 9"
"fue 17","MUE 30"
"fue 18","MUE 7"
"fue 20","MUE 1"
"fue 23","MUE 3"
"fue 24","MUE 24"
"fue 28","MUE 10"
"fue 29","MUE 19"
"fue 30","MUE 27"
"fue 31","MUE 18"
"fue 32","MUE 15"
"fue 33","MUE 16"
"fue 36","MUE 34"
"fue 37","MUE 31"
"fue 39","MUE 20"
"fue 40","MUE 13"
"fue 41","MUE 5"
"fue 43","MUE 21"
"fue 44","MUE 25"
"fue 45","MUE 17"
"fue 47","MUE 8"
"fue 48","MUE 29"
"fue 49","MUE 4"
"fue 50","MUE 32"
"fue 52","MUE 14"
"fue 53","MUE 33"
"fue 56","MUE 22"
"fue 57","MUE 36"
"fue 58","MUE 12"
"fue 59","MUE 23"
