"fue","MUE"
"fue 3","MUE 8"
"fue 7","MUE 19"
"fue 11","MUE 13"
"fue 13","MUE 34"
"fue 14","MUE 16"
"fue 16","MUE 6"
"fue 25","MUE 21"
"fue 26","MUE 2"
"fue 29","MUE 18"
"fue 31","MUE 28"
"fue 33","MUE 20"
"fue 34","MUE 27"
"fue 36","MUE 12"
"fue 37","MUE 29"
"fue 41","MUE 15"
"fue 42","MUE 36"
"fue 43","MUE 7"
"fue 44","MUE 32"
"fue 47","MUE 11"
"fue 50","MUE 33"
"fue 52","MUE 4"
"fue 56","MUE 17"
"fue 57","MUE 3"
"fue 59","MUE 25"
"fue 60","MUE 35"
"fue 62","MUE 26"
"fue 64","MUE 1"
"fue 66","MUE 14"
"fue 67","MUE 31"
"fue 69","MUE 22"
"fue 70","MUE 10"
"fue 71","MUE 30"
"fue 73","MUE 5"
"fue 74","MUE 9"
"fue 76","MUE 24"
"fue 78","MUE 23"
