"fue","MUE"
"fue 1","MUE 29"
"fue 2","MUE 11"
"fue 3","MUE 23"
"fue 6","MUE 1"
"fue 7","MUE 35"
"fue 8","MUE 7"
"fue 9","MUE 12"
"fue 10","MUE 34"
"fue 11","MUE 3"
"fue 12","MUE 31"
"fue 13","MUE 21"
"fue 15","MUE 4"
"fue 16","MUE 30"
"fue 18","MUE 8"
"fue 19","MUE 14"
"fue 21","MUE 17"
"fue 22","MUE 20"
"fue 25","MUE 24"
"fue 28","MUE 9"
"fue 29","MUE 16"
"fue 31","MUE 5"
"fue 32","MUE 27"
"fue 34","MUE 13"
"fue 38","MUE 26"
"fue 39","MUE 6"
"fue 40","MUE 28"
"fue 42","MUE 19"
"fue 43","MUE 22"
"fue 46","MUE 2"
"fue 47","MUE 32"
"fue 48","MUE 25"
"fue 49","MUE 36"
"fue 50","MUE 18"
"fue 51","MUE 15"
"fue 52","MUE 33"
"fue 54","MUE 10"
