"fue","MUE"
"fue 4","MUE 18"
"fue 5","MUE 5"
"fue 7","MUE 1"
"fue 8","MUE 3"
"fue 9","MUE 9"
"fue 10","MUE 26"
"fue 12","MUE 15"
"fue 16","MUE 4"
"fue 21","MUE 23"
"fue 22","MUE 20"
"fue 23","MUE 7"
"fue 34","MUE 28"
"fue 35","MUE 6"
"fue 38","MUE 25"
"fue 39","MUE 30"
"fue 42","MUE 14"
"fue 44","MUE 32"
"fue 46","MUE 21"
"fue 47","MUE 10"
"fue 48","MUE 33"
"fue 49","MUE 36"
"fue 54","MUE 19"
"fue 57","MUE 22"
"fue 59","MUE 13"
"fue 61","MUE 2"
"fue 62","MUE 31"
"fue 63","MUE 8"
"fue 67","MUE 11"
"fue 68","MUE 29"
"fue 70","MUE 34"
"fue 78","MUE 16"
"fue 80","MUE 27"
"fue 82","MUE 12"
"fue 84","MUE 24"
"fue 88","MUE 35"
"fue 89","MUE 17"
