"fue","MUE"
"fue 1","MUE 33"
"fue 3","MUE 29"
"fue 5","MUE 8"
"fue 8","MUE 26"
"fue 10","MUE 36"
"fue 12","MUE 7"
"fue 14","MUE 35"
"fue 17","MUE 27"
"fue 18","MUE 12"
"fue 19","MUE 16"
"fue 20","MUE 1"
"fue 23","MUE 34"
"fue 27","MUE 28"
"fue 29","MUE 11"
"fue 33","MUE 19"
"fue 34","MUE 2"
"fue 35","MUE 3"
"fue 38","MUE 22"
"fue 39","MUE 24"
"fue 43","MUE 20"
"fue 44","MUE 31"
"fue 45","MUE 6"
"fue 46","MUE 21"
"fue 48","MUE 13"
"fue 49","MUE 5"
"fue 50","MUE 15"
"fue 51","MUE 18"
"fue 53","MUE 9"
"fue 55","MUE 23"
"fue 56","MUE 14"
"fue 59","MUE 4"
"fue 63","MUE 32"
"fue 64","MUE 30"
"fue 70","MUE 17"
"fue 71","MUE 10"
"fue 72","MUE 25"
