"fue","MUE"
"fue 2","MUE 9"
"fue 3","MUE 14"
"fue 4","MUE 19"
"fue 5","MUE 5"
"fue 7","MUE 29"
"fue 8","MUE 3"
"fue 9","MUE 4"
"fue 10","MUE 17"
"fue 12","MUE 2"
"fue 13","MUE 21"
"fue 14","MUE 10"
"fue 16","MUE 12"
"fue 17","MUE 32"
"fue 19","MUE 30"
"fue 20","MUE 27"
"fue 23","MUE 33"
"fue 24","MUE 16"
"fue 28","MUE 35"
"fue 29","MUE 6"
"fue 33","MUE 24"
"fue 35","MUE 11"
"fue 39","MUE 7"
"fue 42","MUE 23"
"fue 43","MUE 36"
"fue 44","MUE 25"
"fue 45","MUE 34"
"fue 46","MUE 26"
"fue 48","MUE 28"
"fue 50","MUE 31"
"fue 52","MUE 18"
"fue 54","MUE 22"
"fue 56","MUE 20"
"fue 58","MUE 1"
"fue 59","MUE 13"
"fue 61","MUE 15"
"fue 62","MUE 8"
