"fue","MUE"
"fue 1","MUE 11"
"fue 2","MUE 25"
"fue 3","MUE 13"
"fue 10","MUE 33"
"fue 11","MUE 2"
"fue 13","MUE 12"
"fue 18","MUE 18"
"fue 20","MUE 5"
"fue 22","MUE 19"
"fue 24","MUE 7"
"fue 30","MUE 34"
"fue 31","MUE 21"
"fue 35","MUE 10"
"fue 36","MUE 8"
"fue 37","MUE 24"
"fue 38","MUE 9"
"fue 40","MUE 29"
"fue 41","MUE 3"
"fue 42","MUE 4"
"fue 43","MUE 6"
"fue 44","MUE 14"
"fue 45","MUE 31"
"fue 46","MUE 1"
"fue 48","MUE 15"
"fue 49","MUE 17"
"fue 53","MUE 28"
"fue 54","MUE 23"
"fue 55","MUE 26"
"fue 56","MUE 22"
"fue 58","MUE 30"
"fue 59","MUE 20"
"fue 60","MUE 32"
"fue 61","MUE 36"
"fue 62","MUE 27"
"fue 65","MUE 16"
"fue 66","MUE 35"
