"fue","MUE"
"fue 2","MUE 23"
"fue 3","MUE 32"
"fue 4","MUE 1"
"fue 5","MUE 26"
"fue 6","MUE 35"
"fue 7","MUE 19"
"fue 8","MUE 34"
"fue 9","MUE 11"
"fue 10","MUE 9"
"fue 14","MUE 13"
"fue 19","MUE 27"
"fue 22","MUE 24"
"fue 24","MUE 15"
"fue 28","MUE 18"
"fue 29","MUE 33"
"fue 30","MUE 4"
"fue 31","MUE 7"
"fue 33","MUE 17"
"fue 37","MUE 25"
"fue 40","MUE 5"
"fue 43","MUE 2"
"fue 45","MUE 10"
"fue 48","MUE 14"
"fue 50","MUE 21"
"fue 55","MUE 3"
"fue 66","MUE 6"
"fue 70","MUE 20"
"fue 72","MUE 36"
"fue 75","MUE 30"
"fue 76","MUE 31"
"fue 77","MUE 22"
"fue 78","MUE 12"
"fue 79","MUE 16"
"fue 80","MUE 28"
"fue 82","MUE 8"
"fue 84","MUE 29"
