"fue","MUE"
"fue 1","MUE 4"
"fue 2","MUE 21"
"fue 3","MUE 29"
"fue 4","MUE 13"
"fue 5","MUE 35"
"fue 7","MUE 31"
"fue 9","MUE 1"
"fue 10","MUE 33"
"fue 11","MUE 5"
"fue 15","MUE 9"
"fue 16","MUE 3"
"fue 17","MUE 15"
"fue 25","MUE 34"
"fue 26","MUE 11"
"fue 29","MUE 28"
"fue 31","MUE 32"
"fue 32","MUE 26"
"fue 39","MUE 7"
"fue 40","MUE 20"
"fue 42","MUE 30"
"fue 50","MUE 12"
"fue 51","MUE 27"
"fue 52","MUE 19"
"fue 53","MUE 23"
"fue 54","MUE 25"
"fue 55","MUE 16"
"fue 57","MUE 24"
"fue 58","MUE 6"
"fue 67","MUE 18"
"fue 69","MUE 14"
"fue 70","MUE 8"
"fue 73","MUE 22"
"fue 74","MUE 36"
"fue 75","MUE 10"
"fue 77","MUE 17"
"fue 82","MUE 2"
