"fue","MUE"
"fue 1","MUE 14"
"fue 5","MUE 36"
"fue 7","MUE 32"
"fue 9","MUE 19"
"fue 10","MUE 30"
"fue 14","MUE 23"
"fue 15","MUE 7"
"fue 20","MUE 16"
"fue 21","MUE 2"
"fue 23","MUE 11"
"fue 30","MUE 29"
"fue 31","MUE 8"
"fue 32","MUE 21"
"fue 33","MUE 34"
"fue 34","MUE 5"
"fue 36","MUE 27"
"fue 37","MUE 12"
"fue 38","MUE 9"
"fue 39","MUE 4"
"fue 40","MUE 3"
"fue 44","MUE 28"
"fue 47","MUE 33"
"fue 49","MUE 25"
"fue 53","MUE 17"
"fue 54","MUE 20"
"fue 58","MUE 15"
"fue 59","MUE 6"
"fue 60","MUE 22"
"fue 62","MUE 18"
"fue 63","MUE 24"
"fue 64","MUE 1"
"fue 66","MUE 31"
"fue 68","MUE 35"
"fue 69","MUE 10"
"fue 70","MUE 26"
"fue 72","MUE 13"
