"fue","MUE"
"fue 3","MUE 22"
"fue 8","MUE 30"
"fue 11","MUE 11"
"fue 12","MUE 16"
"fue 16","MUE 18"
"fue 17","MUE 32"
"fue 18","MUE 35"
"fue 21","MUE 31"
"fue 25","MUE 25"
"fue 26","MUE 12"
"fue 30","MUE 27"
"fue 31","MUE 14"
"fue 32","MUE 28"
"fue 33","MUE 8"
"fue 35","MUE 5"
"fue 37","MUE 1"
"fue 40","MUE 15"
"fue 43","MUE 20"
"fue 44","MUE 34"
"fue 45","MUE 19"
"fue 46","MUE 3"
"fue 50","MUE 13"
"fue 51","MUE 36"
"fue 52","MUE 21"
"fue 54","MUE 17"
"fue 55","MUE 2"
"fue 57","MUE 33"
"fue 59","MUE 9"
"fue 60","MUE 10"
"fue 61","MUE 7"
"fue 63","MUE 24"
"fue 64","MUE 29"
"fue 65","MUE 4"
"fue 70","MUE 23"
"fue 71","MUE 26"
"fue 72","MUE 6"
