"fue","MUE"
"fue 3","MUE 15"
"fue 5","MUE 9"
"fue 6","MUE 25"
"fue 8","MUE 8"
"fue 9","MUE 19"
"fue 13","MUE 23"
"fue 15","MUE 33"
"fue 17","MUE 14"
"fue 20","MUE 18"
"fue 23","MUE 12"
"fue 26","MUE 4"
"fue 27","MUE 13"
"fue 28","MUE 29"
"fue 29","MUE 7"
"fue 30","MUE 5"
"fue 35","MUE 11"
"fue 41","MUE 34"
"fue 45","MUE 6"
"fue 47","MUE 28"
"fue 49","MUE 24"
"fue 53","MUE 35"
"fue 55","MUE 30"
"fue 56","MUE 17"
"fue 57","MUE 21"
"fue 59","MUE 10"
"fue 60","MUE 2"
"fue 65","MUE 1"
"fue 66","MUE 16"
"fue 68","MUE 26"
"fue 72","MUE 31"
"fue 74","MUE 20"
"fue 77","MUE 32"
"fue 80","MUE 22"
"fue 81","MUE 27"
"fue 82","MUE 3"
"fue 83","MUE 36"
