"fue","MUE"
"fue 5","MUE 17"
"fue 6","MUE 2"
"fue 7","MUE 15"
"fue 8","MUE 10"
"fue 13","MUE 31"
"fue 16","MUE 28"
"fue 19","MUE 7"
"fue 22","MUE 18"
"fue 27","MUE 11"
"fue 28","MUE 16"
"fue 30","MUE 3"
"fue 31","MUE 35"
"fue 35","MUE 25"
"fue 36","MUE 19"
"fue 39","MUE 12"
"fue 40","MUE 34"
"fue 44","MUE 32"
"fue 49","MUE 24"
"fue 51","MUE 14"
"fue 55","MUE 29"
"fue 57","MUE 9"
"fue 59","MUE 13"
"fue 61","MUE 30"
"fue 64","MUE 6"
"fue 65","MUE 33"
"fue 66","MUE 26"
"fue 69","MUE 5"
"fue 74","MUE 22"
"fue 76","MUE 4"
"fue 77","MUE 21"
"fue 78","MUE 27"
"fue 79","MUE 20"
"fue 81","MUE 8"
"fue 82","MUE 36"
"fue 84","MUE 23"
"fue 89","MUE 1"
