"fue","MUE"
"fue 3","MUE 7"
"fue 6","MUE 29"
"fue 9","MUE 19"
"fue 10","MUE 21"
"fue 12","MUE 24"
"fue 13","MUE 15"
"fue 15","MUE 6"
"fue 16","MUE 17"
"fue 17","MUE 30"
"fue 18","MUE 8"
"fue 22","MUE 10"
"fue 24","MUE 5"
"fue 25","MUE 1"
"fue 26","MUE 31"
"fue 28","MUE 2"
"fue 29","MUE 26"
"fue 30","MUE 34"
"fue 31","MUE 11"
"fue 33","MUE 12"
"fue 34","MUE 36"
"fue 35","MUE 18"
"fue 36","MUE 27"
"fue 37","MUE 23"
"fue 38","MUE 4"
"fue 40","MUE 25"
"fue 42","MUE 14"
"fue 43","MUE 16"
"fue 44","MUE 20"
"fue 45","MUE 28"
"fue 48","MUE 32"
"fue 49","MUE 9"
"fue 50","MUE 22"
"fue 51","MUE 33"
"fue 52","MUE 3"
"fue 53","MUE 35"
"fue 54","MUE 13"
