"fue","MUE"
"fue 1","MUE 16"
"fue 2","MUE 15"
"fue 4","MUE 36"
"fue 5","MUE 12"
"fue 6","MUE 21"
"fue 7","MUE 19"
"fue 10","MUE 23"
"fue 11","MUE 31"
"fue 15","MUE 30"
"fue 16","MUE 34"
"fue 18","MUE 13"
"fue 20","MUE 10"
"fue 21","MUE 28"
"fue 26","MUE 4"
"fue 27","MUE 2"
"fue 29","MUE 27"
"fue 30","MUE 29"
"fue 36","MUE 25"
"fue 37","MUE 20"
"fue 38","MUE 33"
"fue 39","MUE 18"
"fue 40","MUE 11"
"fue 41","MUE 22"
"fue 43","MUE 8"
"fue 47","MUE 26"
"fue 48","MUE 1"
"fue 49","MUE 3"
"fue 54","MUE 17"
"fue 55","MUE 7"
"fue 56","MUE 6"
"fue 61","MUE 14"
"fue 62","MUE 9"
"fue 65","MUE 24"
"fue 66","MUE 5"
"fue 68","MUE 35"
"fue 72","MUE 32"
