"fue","MUE"
"fue 1","MUE 22"
"fue 2","MUE 2"
"fue 3","MUE 19"
"fue 4","MUE 6"
"fue 6","MUE 18"
"fue 11","MUE 26"
"fue 20","MUE 24"
"fue 21","MUE 28"
"fue 23","MUE 10"
"fue 26","MUE 33"
"fue 28","MUE 21"
"fue 32","MUE 3"
"fue 33","MUE 29"
"fue 34","MUE 8"
"fue 35","MUE 15"
"fue 36","MUE 12"
"fue 37","MUE 17"
"fue 43","MUE 35"
"fue 44","MUE 30"
"fue 45","MUE 16"
"fue 46","MUE 25"
"fue 48","MUE 32"
"fue 51","MUE 36"
"fue 55","MUE 14"
"fue 56","MUE 31"
"fue 60","MUE 5"
"fue 61","MUE 7"
"fue 64","MUE 27"
"fue 65","MUE 34"
"fue 68","MUE 23"
"fue 69","MUE 1"
"fue 70","MUE 4"
"fue 71","MUE 9"
"fue 73","MUE 20"
"fue 75","MUE 11"
"fue 77","MUE 13"
