"fue","MUE"
"fue 2","MUE 20"
"fue 3","MUE 9"
"fue 8","MUE 33"
"fue 13","MUE 11"
"fue 14","MUE 19"
"fue 17","MUE 26"
"fue 20","MUE 8"
"fue 23","MUE 17"
"fue 25","MUE 29"
"fue 30","MUE 27"
"fue 32","MUE 12"
"fue 37","MUE 25"
"fue 39","MUE 1"
"fue 41","MUE 21"
"fue 42","MUE 7"
"fue 45","MUE 6"
"fue 46","MUE 3"
"fue 47","MUE 5"
"fue 48","MUE 28"
"fue 54","MUE 31"
"fue 58","MUE 4"
"fue 59","MUE 23"
"fue 60","MUE 13"
"fue 63","MUE 36"
"fue 64","MUE 34"
"fue 68","MUE 22"
"fue 70","MUE 30"
"fue 71","MUE 14"
"fue 73","MUE 35"
"fue 74","MUE 16"
"fue 78","MUE 15"
"fue 79","MUE 18"
"fue 80","MUE 2"
"fue 82","MUE 32"
"fue 87","MUE 10"
"fue 89","MUE 24"
