"fue","MUE"
"fue 1","MUE 1"
"fue 3","MUE 31"
"fue 7","MUE 3"
"fue 11","MUE 7"
"fue 16","MUE 30"
"fue 20","MUE 6"
"fue 22","MUE 29"
"fue 23","MUE 24"
"fue 27","MUE 10"
"fue 28","MUE 18"
"fue 33","MUE 4"
"fue 36","MUE 21"
"fue 37","MUE 22"
"fue 44","MUE 32"
"fue 45","MUE 5"
"fue 46","MUE 19"
"fue 47","MUE 11"
"fue 49","MUE 28"
"fue 50","MUE 15"
"fue 53","MUE 27"
"fue 56","MUE 9"
"fue 59","MUE 35"
"fue 60","MUE 23"
"fue 61","MUE 8"
"fue 63","MUE 14"
"fue 64","MUE 36"
"fue 65","MUE 17"
"fue 66","MUE 2"
"fue 69","MUE 25"
"fue 70","MUE 20"
"fue 71","MUE 13"
"fue 76","MUE 26"
"fue 77","MUE 33"
"fue 78","MUE 12"
"fue 83","MUE 16"
"fue 84","MUE 34"
