"fue","MUE"
"fue 2","MUE 20"
"fue 3","MUE 7"
"fue 4","MUE 13"
"fue 9","MUE 28"
"fue 10","MUE 2"
"fue 12","MUE 27"
"fue 15","MUE 22"
"fue 16","MUE 9"
"fue 17","MUE 5"
"fue 20","MUE 19"
"fue 22","MUE 34"
"fue 24","MUE 6"
"fue 26","MUE 26"
"fue 27","MUE 3"
"fue 28","MUE 14"
"fue 30","MUE 17"
"fue 31","MUE 1"
"fue 32","MUE 30"
"fue 33","MUE 31"
"fue 35","MUE 35"
"fue 36","MUE 33"
"fue 37","MUE 23"
"fue 38","MUE 36"
"fue 39","MUE 29"
"fue 40","MUE 12"
"fue 42","MUE 21"
"fue 43","MUE 25"
"fue 46","MUE 24"
"fue 49","MUE 4"
"fue 50","MUE 15"
"fue 51","MUE 8"
"fue 52","MUE 16"
"fue 54","MUE 18"
"fue 57","MUE 32"
"fue 58","MUE 10"
"fue 59","MUE 11"
