"fue","MUE"
"fue 3","MUE 1"
"fue 5","MUE 32"
"fue 6","MUE 6"
"fue 8","MUE 5"
"fue 10","MUE 9"
"fue 12","MUE 19"
"fue 14","MUE 26"
"fue 15","MUE 12"
"fue 17","MUE 17"
"fue 23","MUE 36"
"fue 24","MUE 23"
"fue 25","MUE 21"
"fue 26","MUE 33"
"fue 28","MUE 8"
"fue 30","MUE 18"
"fue 35","MUE 4"
"fue 36","MUE 15"
"fue 38","MUE 30"
"fue 42","MUE 11"
"fue 44","MUE 31"
"fue 47","MUE 20"
"fue 51","MUE 28"
"fue 52","MUE 34"
"fue 54","MUE 27"
"fue 55","MUE 25"
"fue 58","MUE 3"
"fue 62","MUE 13"
"fue 63","MUE 16"
"fue 64","MUE 35"
"fue 65","MUE 29"
"fue 66","MUE 2"
"fue 68","MUE 7"
"fue 70","MUE 22"
"fue 71","MUE 14"
"fue 73","MUE 10"
"fue 76","MUE 24"
