"fue","MUE"
"fue 1","MUE 4"
"fue 2","MUE 27"
"fue 3","MUE 16"
"fue 4","MUE 5"
"fue 5","MUE 10"
"fue 7","MUE 13"
"fue 8","MUE 34"
"fue 9","MUE 2"
"fue 10","MUE 7"
"fue 12","MUE 28"
"fue 13","MUE 15"
"fue 14","MUE 29"
"fue 15","MUE 36"
"fue 16","MUE 22"
"fue 20","MUE 11"
"fue 22","MUE 23"
"fue 24","MUE 9"
"fue 25","MUE 14"
"fue 27","MUE 33"
"fue 28","MUE 24"
"fue 29","MUE 6"
"fue 30","MUE 8"
"fue 31","MUE 18"
"fue 32","MUE 17"
"fue 34","MUE 26"
"fue 35","MUE 35"
"fue 37","MUE 3"
"fue 38","MUE 12"
"fue 39","MUE 1"
"fue 40","MUE 19"
"fue 42","MUE 25"
"fue 43","MUE 20"
"fue 45","MUE 32"
"fue 46","MUE 21"
"fue 47","MUE 30"
"fue 48","MUE 31"
