"fue","MUE"
"fue 2","MUE 23"
"fue 4","MUE 17"
"fue 6","MUE 2"
"fue 8","MUE 20"
"fue 9","MUE 33"
"fue 10","MUE 35"
"fue 11","MUE 30"
"fue 13","MUE 36"
"fue 14","MUE 25"
"fue 16","MUE 29"
"fue 17","MUE 14"
"fue 20","MUE 5"
"fue 23","MUE 21"
"fue 24","MUE 9"
"fue 25","MUE 12"
"fue 29","MUE 11"
"fue 30","MUE 18"
"fue 31","MUE 22"
"fue 32","MUE 8"
"fue 33","MUE 19"
"fue 34","MUE 31"
"fue 35","MUE 15"
"fue 37","MUE 26"
"fue 38","MUE 3"
"fue 40","MUE 6"
"fue 41","MUE 10"
"fue 43","MUE 28"
"fue 44","MUE 24"
"fue 45","MUE 7"
"fue 46","MUE 1"
"fue 47","MUE 27"
"fue 49","MUE 13"
"fue 50","MUE 32"
"fue 52","MUE 34"
"fue 53","MUE 4"
"fue 54","MUE 16"
