"fue","MUE"
"fue 1","MUE 17"
"fue 3","MUE 15"
"fue 5","MUE 1"
"fue 6","MUE 7"
"fue 7","MUE 13"
"fue 8","MUE 33"
"fue 13","MUE 8"
"fue 14","MUE 21"
"fue 15","MUE 24"
"fue 17","MUE 27"
"fue 19","MUE 4"
"fue 21","MUE 5"
"fue 24","MUE 19"
"fue 26","MUE 10"
"fue 28","MUE 30"
"fue 31","MUE 6"
"fue 34","MUE 23"
"fue 35","MUE 22"
"fue 36","MUE 18"
"fue 40","MUE 14"
"fue 41","MUE 29"
"fue 42","MUE 16"
"fue 43","MUE 26"
"fue 44","MUE 34"
"fue 45","MUE 2"
"fue 46","MUE 12"
"fue 47","MUE 31"
"fue 49","MUE 9"
"fue 51","MUE 20"
"fue 53","MUE 36"
"fue 54","MUE 28"
"fue 55","MUE 32"
"fue 57","MUE 25"
"fue 58","MUE 35"
"fue 59","MUE 11"
"fue 60","MUE 3"
