"fue","MUE"
"fue 2","MUE 25"
"fue 3","MUE 12"
"fue 6","MUE 9"
"fue 9","MUE 6"
"fue 10","MUE 17"
"fue 13","MUE 7"
"fue 17","MUE 27"
"fue 23","MUE 15"
"fue 26","MUE 36"
"fue 28","MUE 22"
"fue 31","MUE 10"
"fue 34","MUE 19"
"fue 35","MUE 21"
"fue 37","MUE 1"
"fue 40","MUE 4"
"fue 43","MUE 13"
"fue 46","MUE 5"
"fue 48","MUE 32"
"fue 54","MUE 31"
"fue 55","MUE 11"
"fue 56","MUE 20"
"fue 58","MUE 28"
"fue 59","MUE 34"
"fue 60","MUE 8"
"fue 61","MUE 18"
"fue 65","MUE 26"
"fue 66","MUE 2"
"fue 67","MUE 35"
"fue 69","MUE 3"
"fue 74","MUE 33"
"fue 76","MUE 29"
"fue 78","MUE 16"
"fue 82","MUE 14"
"fue 87","MUE 23"
"fue 89","MUE 30"
"fue 90","MUE 24"
