"fue","MUE"
"fue 3","MUE 3"
"fue 12","MUE 4"
"fue 14","MUE 21"
"fue 15","MUE 16"
"fue 16","MUE 24"
"fue 17","MUE 36"
"fue 21","MUE 12"
"fue 23","MUE 18"
"fue 24","MUE 20"
"fue 26","MUE 1"
"fue 29","MUE 29"
"fue 30","MUE 26"
"fue 34","MUE 35"
"fue 36","MUE 28"
"fue 38","MUE 8"
"fue 39","MUE 2"
"fue 43","MUE 25"
"fue 45","MUE 15"
"fue 46","MUE 9"
"fue 47","MUE 33"
"fue 49","MUE 31"
"fue 51","MUE 30"
"fue 52","MUE 34"
"fue 58","MUE 7"
"fue 60","MUE 23"
"fue 61","MUE 14"
"fue 63","MUE 27"
"fue 66","MUE 6"
"fue 70","MUE 22"
"fue 72","MUE 19"
"fue 74","MUE 13"
"fue 75","MUE 17"
"fue 76","MUE 5"
"fue 79","MUE 11"
"fue 80","MUE 32"
"fue 83","MUE 10"
