"fue","MUE"
"fue 2","MUE 30"
"fue 5","MUE 21"
"fue 7","MUE 5"
"fue 9","MUE 33"
"fue 13","MUE 25"
"fue 14","MUE 31"
"fue 15","MUE 32"
"fue 16","MUE 15"
"fue 17","MUE 12"
"fue 21","MUE 10"
"fue 23","MUE 7"
"fue 25","MUE 24"
"fue 26","MUE 23"
"fue 27","MUE 27"
"fue 28","MUE 9"
"fue 30","MUE 34"
"fue 31","MUE 36"
"fue 32","MUE 28"
"fue 36","MUE 4"
"fue 37","MUE 2"
"fue 38","MUE 26"
"fue 40","MUE 16"
"fue 43","MUE 8"
"fue 44","MUE 35"
"fue 45","MUE 6"
"fue 46","MUE 19"
"fue 47","MUE 17"
"fue 53","MUE 18"
"fue 60","MUE 1"
"fue 64","MUE 13"
"fue 67","MUE 3"
"fue 69","MUE 20"
"fue 73","MUE 29"
"fue 74","MUE 11"
"fue 77","MUE 14"
"fue 79","MUE 22"
