"fue","MUE"
"fue 2","MUE 10"
"fue 4","MUE 34"
"fue 5","MUE 31"
"fue 7","MUE 28"
"fue 11","MUE 19"
"fue 12","MUE 14"
"fue 13","MUE 18"
"fue 15","MUE 6"
"fue 16","MUE 4"
"fue 17","MUE 29"
"fue 20","MUE 13"
"fue 21","MUE 11"
"fue 22","MUE 26"
"fue 24","MUE 8"
"fue 25","MUE 17"
"fue 26","MUE 3"
"fue 27","MUE 15"
"fue 28","MUE 5"
"fue 30","MUE 27"
"fue 31","MUE 16"
"fue 32","MUE 21"
"fue 33","MUE 20"
"fue 34","MUE 9"
"fue 35","MUE 36"
"fue 37","MUE 32"
"fue 38","MUE 2"
"fue 39","MUE 24"
"fue 41","MUE 25"
"fue 42","MUE 7"
"fue 45","MUE 22"
"fue 48","MUE 1"
"fue 49","MUE 23"
"fue 51","MUE 30"
"fue 52","MUE 12"
"fue 53","MUE 33"
"fue 54","MUE 35"
