"fue","MUE"
"fue 1","MUE 22"
"fue 7","MUE 29"
"fue 8","MUE 23"
"fue 9","MUE 9"
"fue 10","MUE 35"
"fue 11","MUE 32"
"fue 15","MUE 19"
"fue 16","MUE 2"
"fue 19","MUE 15"
"fue 24","MUE 24"
"fue 25","MUE 33"
"fue 26","MUE 13"
"fue 28","MUE 1"
"fue 31","MUE 36"
"fue 32","MUE 27"
"fue 33","MUE 34"
"fue 43","MUE 26"
"fue 46","MUE 10"
"fue 47","MUE 8"
"fue 49","MUE 20"
"fue 50","MUE 3"
"fue 51","MUE 12"
"fue 52","MUE 25"
"fue 53","MUE 28"
"fue 55","MUE 31"
"fue 56","MUE 21"
"fue 58","MUE 4"
"fue 59","MUE 11"
"fue 62","MUE 30"
"fue 67","MUE 6"
"fue 68","MUE 18"
"fue 69","MUE 7"
"fue 72","MUE 14"
"fue 74","MUE 17"
"fue 77","MUE 16"
"fue 78","MUE 5"
