"fue","MUE"
"fue 1","MUE 29"
"fue 2","MUE 24"
"fue 3","MUE 28"
"fue 5","MUE 31"
"fue 6","MUE 25"
"fue 7","MUE 7"
"fue 8","MUE 23"
"fue 9","MUE 13"
"fue 10","MUE 15"
"fue 11","MUE 2"
"fue 12","MUE 3"
"fue 13","MUE 10"
"fue 14","MUE 34"
"fue 15","MUE 14"
"fue 16","MUE 26"
"fue 17","MUE 19"
"fue 19","MUE 35"
"fue 20","MUE 36"
"fue 23","MUE 4"
"fue 25","MUE 12"
"fue 28","MUE 22"
"fue 29","MUE 17"
"fue 30","MUE 9"
"fue 31","MUE 33"
"fue 34","MUE 8"
"fue 35","MUE 6"
"fue 36","MUE 21"
"fue 37","MUE 5"
"fue 41","MUE 18"
"fue 42","MUE 11"
"fue 43","MUE 1"
"fue 44","MUE 16"
"fue 45","MUE 30"
"fue 46","MUE 20"
"fue 47","MUE 27"
"fue 48","MUE 32"
