"fue","MUE"
"fue 7","MUE 1"
"fue 9","MUE 29"
"fue 12","MUE 26"
"fue 16","MUE 17"
"fue 19","MUE 14"
"fue 21","MUE 3"
"fue 22","MUE 32"
"fue 23","MUE 27"
"fue 24","MUE 4"
"fue 25","MUE 16"
"fue 27","MUE 25"
"fue 29","MUE 24"
"fue 30","MUE 23"
"fue 31","MUE 8"
"fue 33","MUE 7"
"fue 34","MUE 10"
"fue 35","MUE 21"
"fue 36","MUE 13"
"fue 38","MUE 19"
"fue 39","MUE 31"
"fue 41","MUE 18"
"fue 43","MUE 34"
"fue 45","MUE 30"
"fue 48","MUE 15"
"fue 50","MUE 5"
"fue 51","MUE 35"
"fue 52","MUE 36"
"fue 53","MUE 9"
"fue 54","MUE 33"
"fue 55","MUE 6"
"fue 56","MUE 11"
"fue 57","MUE 12"
"fue 58","MUE 22"
"fue 60","MUE 20"
"fue 61","MUE 2"
"fue 66","MUE 28"
