"fue","MUE"
"fue 1","MUE 19"
"fue 7","MUE 2"
"fue 9","MUE 32"
"fue 13","MUE 4"
"fue 16","MUE 33"
"fue 18","MUE 16"
"fue 22","MUE 14"
"fue 23","MUE 29"
"fue 25","MUE 28"
"fue 30","MUE 34"
"fue 31","MUE 30"
"fue 32","MUE 35"
"fue 35","MUE 31"
"fue 36","MUE 36"
"fue 38","MUE 15"
"fue 41","MUE 3"
"fue 43","MUE 13"
"fue 46","MUE 23"
"fue 54","MUE 10"
"fue 55","MUE 5"
"fue 61","MUE 9"
"fue 62","MUE 21"
"fue 65","MUE 22"
"fue 66","MUE 1"
"fue 67","MUE 18"
"fue 68","MUE 17"
"fue 69","MUE 7"
"fue 71","MUE 25"
"fue 72","MUE 20"
"fue 74","MUE 24"
"fue 77","MUE 26"
"fue 78","MUE 6"
"fue 80","MUE 11"
"fue 82","MUE 27"
"fue 83","MUE 12"
"fue 84","MUE 8"
