"fue","MUE"
"fue 1","MUE 35"
"fue 2","MUE 31"
"fue 7","MUE 16"
"fue 8","MUE 3"
"fue 10","MUE 21"
"fue 11","MUE 19"
"fue 14","MUE 15"
"fue 17","MUE 18"
"fue 18","MUE 6"
"fue 19","MUE 28"
"fue 20","MUE 8"
"fue 21","MUE 4"
"fue 24","MUE 32"
"fue 28","MUE 24"
"fue 29","MUE 30"
"fue 30","MUE 17"
"fue 31","MUE 27"
"fue 32","MUE 34"
"fue 33","MUE 2"
"fue 34","MUE 25"
"fue 40","MUE 22"
"fue 43","MUE 5"
"fue 47","MUE 13"
"fue 48","MUE 20"
"fue 49","MUE 10"
"fue 51","MUE 29"
"fue 53","MUE 11"
"fue 54","MUE 1"
"fue 57","MUE 26"
"fue 58","MUE 23"
"fue 60","MUE 7"
"fue 61","MUE 12"
"fue 65","MUE 33"
"fue 66","MUE 14"
"fue 68","MUE 36"
"fue 71","MUE 9"
