"fue","MUE"
"fue 3","MUE 24"
"fue 6","MUE 35"
"fue 8","MUE 13"
"fue 11","MUE 7"
"fue 12","MUE 34"
"fue 13","MUE 9"
"fue 14","MUE 33"
"fue 17","MUE 19"
"fue 19","MUE 10"
"fue 20","MUE 32"
"fue 23","MUE 4"
"fue 25","MUE 21"
"fue 26","MUE 5"
"fue 28","MUE 25"
"fue 32","MUE 22"
"fue 34","MUE 31"
"fue 38","MUE 12"
"fue 40","MUE 29"
"fue 42","MUE 28"
"fue 43","MUE 2"
"fue 44","MUE 30"
"fue 52","MUE 15"
"fue 53","MUE 1"
"fue 57","MUE 3"
"fue 62","MUE 17"
"fue 63","MUE 14"
"fue 64","MUE 8"
"fue 67","MUE 6"
"fue 70","MUE 11"
"fue 71","MUE 26"
"fue 74","MUE 16"
"fue 76","MUE 20"
"fue 77","MUE 27"
"fue 78","MUE 18"
"fue 79","MUE 36"
"fue 80","MUE 23"
