"fue","MUE"
"fue 2","MUE 15"
"fue 3","MUE 12"
"fue 4","MUE 22"
"fue 5","MUE 31"
"fue 6","MUE 13"
"fue 8","MUE 24"
"fue 12","MUE 18"
"fue 15","MUE 9"
"fue 19","MUE 26"
"fue 26","MUE 17"
"fue 28","MUE 10"
"fue 29","MUE 4"
"fue 31","MUE 27"
"fue 34","MUE 33"
"fue 35","MUE 2"
"fue 37","MUE 1"
"fue 43","MUE 32"
"fue 44","MUE 34"
"fue 45","MUE 25"
"fue 46","MUE 19"
"fue 47","MUE 6"
"fue 48","MUE 35"
"fue 49","MUE 14"
"fue 51","MUE 21"
"fue 52","MUE 16"
"fue 53","MUE 3"
"fue 55","MUE 23"
"fue 62","MUE 28"
"fue 65","MUE 30"
"fue 66","MUE 7"
"fue 69","MUE 20"
"fue 70","MUE 36"
"fue 71","MUE 29"
"fue 75","MUE 5"
"fue 77","MUE 11"
"fue 79","MUE 8"
