"fue","MUE"
"fue 4","MUE 21"
"fue 6","MUE 28"
"fue 7","MUE 7"
"fue 14","MUE 2"
"fue 16","MUE 4"
"fue 17","MUE 16"
"fue 18","MUE 24"
"fue 19","MUE 14"
"fue 20","MUE 17"
"fue 25","MUE 1"
"fue 27","MUE 12"
"fue 28","MUE 30"
"fue 30","MUE 27"
"fue 32","MUE 15"
"fue 34","MUE 18"
"fue 36","MUE 25"
"fue 40","MUE 23"
"fue 42","MUE 34"
"fue 43","MUE 11"
"fue 47","MUE 20"
"fue 49","MUE 3"
"fue 50","MUE 8"
"fue 52","MUE 33"
"fue 53","MUE 13"
"fue 54","MUE 6"
"fue 55","MUE 22"
"fue 58","MUE 29"
"fue 59","MUE 26"
"fue 60","MUE 5"
"fue 61","MUE 10"
"fue 62","MUE 9"
"fue 68","MUE 32"
"fue 69","MUE 31"
"fue 70","MUE 35"
"fue 71","MUE 19"
"fue 72","MUE 36"
