"fue","MUE"
"fue 2","MUE 28"
"fue 4","MUE 5"
"fue 6","MUE 10"
"fue 8","MUE 27"
"fue 10","MUE 24"
"fue 12","MUE 31"
"fue 13","MUE 25"
"fue 14","MUE 36"
"fue 15","MUE 12"
"fue 16","MUE 9"
"fue 19","MUE 23"
"fue 20","MUE 19"
"fue 21","MUE 15"
"fue 23","MUE 35"
"fue 25","MUE 29"
"fue 29","MUE 26"
"fue 31","MUE 11"
"fue 34","MUE 33"
"fue 36","MUE 4"
"fue 37","MUE 8"
"fue 40","MUE 21"
"fue 41","MUE 32"
"fue 43","MUE 1"
"fue 44","MUE 30"
"fue 46","MUE 3"
"fue 47","MUE 18"
"fue 53","MUE 22"
"fue 54","MUE 13"
"fue 55","MUE 20"
"fue 56","MUE 6"
"fue 57","MUE 7"
"fue 62","MUE 16"
"fue 63","MUE 14"
"fue 64","MUE 2"
"fue 65","MUE 34"
"fue 66","MUE 17"
