"fue","MUE"
"fue 2","MUE 16"
"fue 4","MUE 11"
"fue 8","MUE 31"
"fue 10","MUE 2"
"fue 12","MUE 24"
"fue 13","MUE 33"
"fue 14","MUE 29"
"fue 15","MUE 28"
"fue 18","MUE 25"
"fue 19","MUE 21"
"fue 22","MUE 26"
"fue 26","MUE 35"
"fue 29","MUE 36"
"fue 31","MUE 30"
"fue 32","MUE 22"
"fue 34","MUE 23"
"fue 36","MUE 13"
"fue 38","MUE 20"
"fue 39","MUE 27"
"fue 42","MUE 5"
"fue 46","MUE 4"
"fue 47","MUE 14"
"fue 48","MUE 18"
"fue 52","MUE 1"
"fue 54","MUE 15"
"fue 55","MUE 8"
"fue 56","MUE 34"
"fue 58","MUE 10"
"fue 59","MUE 32"
"fue 60","MUE 3"
"fue 61","MUE 6"
"fue 66","MUE 19"
"fue 69","MUE 17"
"fue 70","MUE 9"
"fue 74","MUE 12"
"fue 77","MUE 7"
