"fue","MUE"
"fue 6","MUE 19"
"fue 10","MUE 18"
"fue 13","MUE 2"
"fue 14","MUE 4"
"fue 15","MUE 25"
"fue 18","MUE 14"
"fue 21","MUE 7"
"fue 23","MUE 12"
"fue 24","MUE 3"
"fue 26","MUE 10"
"fue 28","MUE 27"
"fue 33","MUE 24"
"fue 35","MUE 6"
"fue 36","MUE 17"
"fue 38","MUE 32"
"fue 42","MUE 28"
"fue 46","MUE 36"
"fue 48","MUE 26"
"fue 49","MUE 9"
"fue 50","MUE 15"
"fue 51","MUE 13"
"fue 53","MUE 30"
"fue 56","MUE 5"
"fue 59","MUE 31"
"fue 61","MUE 22"
"fue 62","MUE 34"
"fue 64","MUE 11"
"fue 65","MUE 35"
"fue 69","MUE 1"
"fue 70","MUE 29"
"fue 71","MUE 21"
"fue 72","MUE 8"
"fue 73","MUE 23"
"fue 74","MUE 33"
"fue 75","MUE 20"
"fue 76","MUE 16"
