"fue","MUE"
"fue 2","MUE 26"
"fue 5","MUE 7"
"fue 6","MUE 18"
"fue 10","MUE 11"
"fue 12","MUE 15"
"fue 14","MUE 5"
"fue 16","MUE 22"
"fue 19","MUE 23"
"fue 24","MUE 3"
"fue 26","MUE 8"
"fue 28","MUE 29"
"fue 29","MUE 1"
"fue 30","MUE 4"
"fue 33","MUE 25"
"fue 34","MUE 21"
"fue 35","MUE 17"
"fue 37","MUE 24"
"fue 38","MUE 12"
"fue 39","MUE 10"
"fue 40","MUE 32"
"fue 42","MUE 13"
"fue 43","MUE 28"
"fue 48","MUE 2"
"fue 51","MUE 16"
"fue 52","MUE 14"
"fue 53","MUE 36"
"fue 56","MUE 30"
"fue 58","MUE 35"
"fue 62","MUE 33"
"fue 63","MUE 6"
"fue 71","MUE 9"
"fue 72","MUE 27"
"fue 73","MUE 31"
"fue 74","MUE 19"
"fue 76","MUE 34"
"fue 78","MUE 20"
